Date,Open,High,Low,Close
2021-12-10,4687.64,4713.57,4670.24,4712.02
2021-12-09,4691.00,4695.26,4665.98,4667.45
2021-12-08,4690.86,4705.06,4674.52,4701.21
2021-12-07,4631.97,4694.04,4631.97,4686.75
2021-12-06,4548.37,4612.60,4540.51,4591.67
2021-12-03,4589.49,4608.03,4495.12,4538.43
2021-12-02,4504.73,4595.46,4504.73,4577.10
2021-12-01,4602.82,4652.94,4510.27,4513.04
2021-11-30,4640.25,4646.02,4560.00,4567.00
2021-11-29,4628.75,4672.95,4625.26,4655.27
2021-11-26,4664.63,4664.63,4585.43,4594.62
2021-11-24,4675.78,4702.87,4659.89,4701.46
2021-11-23,4678.48,4699.39,4652.66,4690.70
2021-11-22,4712.00,4743.83,4682.17,4682.94
2021-11-19,4708.44,4717.75,4694.22,4697.96
2021-11-18,4700.72,4708.80,4672.78,4704.54
2021-11-17,4701.50,4701.50,4684.41,4688.67
2021-11-16,4679.42,4714.95,4679.42,4700.90
2021-11-15,4689.30,4697.42,4672.86,4682.80
2021-11-12,4655.24,4688.47,4650.77,4682.85
2021-11-11,4659.39,4664.55,4648.31,4649.27
2021-11-10,4670.26,4684.85,4630.86,4646.71
2021-11-09,4707.25,4708.53,4670.87,4685.25
2021-11-08,4701.48,4714.92,4694.39,4701.70
2021-11-05,4699.26,4718.50,4681.32,4697.53
2021-11-04,4662.93,4683.00,4662.59,4680.06
2021-11-03,4630.65,4663.46,4621.19,4660.57
2021-11-02,4613.34,4635.15,4613.34,4630.65
2021-11-01,4610.62,4620.34,4595.06,4613.67
